naics_code,naics_desc,naics_level
236117,New housing for-sale builders,national_industry
236118,Residential remodelers,national_industry
2362,Nonresidential building construction,industry_group
23621,Industrial building construction,naics_industry
236210,Industrial building construction,national_industry
23622,Commercial and institutional building construction,naics_industry
236220,Commercial and institutional building construction,national_industry
237,Heavy and civil engineering construction,subsector
2371,Utility system construction,industry_group
23711,Water and sewer line and related structures construction,naics_industry
237110,Water and sewer line and related structures construction,national_industry
23712,Oil and gas pipeline and related structures construction,naics_industry
237120,Oil and gas pipeline and related structures construction,national_industry
23713,Power and communication line and related structures construction,naics_industry
237130,Power and communication line and related structures construction,national_industry
2372,Land subdivision,industry_group
23721,Land subdivision,naics_industry
237210,Land subdivision,national_industry
2373,"Highway, street, and bridge construction",industry_group
23731,"Highway, street, and bridge construction",naics_industry
237310,"Highway, street, and bridge construction",national_industry
2379,Other heavy and civil engineering construction,industry_group
23799,Other heavy and civil engineering construction,naics_industry
237990,Other heavy and civil engineering construction,national_industry
238,Specialty trade contractors,subsector
2381,"Foundation, structure, and building exterior contractors",industry_group
23811,Poured concrete foundation and structure contractors,naics_industry
238110,Poured concrete foundation and structure contractors,national_industry
23812,Structural steel and precast concrete contractors,naics_industry
238120,Structural steel and precast concrete contractors,national_industry
23813,Framing contractors,naics_industry
238130,Framing contractors,national_industry
23814,Masonry contractors,naics_industry
238140,Masonry contractors,national_industry
23815,Glass and glazing contractors,naics_industry
238150,Glass and glazing contractors,national_industry
23816,Roofing contractors,naics_industry
238160,Roofing contractors,national_industry
23817,Siding contractors,naics_industry
238170,Siding contractors,national_industry
23819,"Other foundation, structure, and building exterior contractors",naics_industry
238190,"Other foundation, structure, and building exterior contractors",national_industry
2382,Building equipment contractors,industry_group
23821,Electrical contractors and other wiring installation contractors,naics_industry
238210,Electrical contractors and other wiring installation contractors,national_industry
23822,"Plumbing, heating, and air-conditioning contractors",naics_industry
238220,"Plumbing, heating, and air-conditioning contractors",national_industry
23829,Other building equipment contractors,naics_industry
238290,Other building equipment contractors,national_industry
2383,Building finishing contractors,industry_group
23831,Drywall and insulation contractors,naics_industry
238310,Drywall and insulation contractors,national_industry
23832,Painting and wall covering contractors,naics_industry
238320,Painting and wall covering contractors,national_industry
23833,Flooring contractors,naics_industry
238330,Flooring contractors,national_industry
23834,Tile and terrazzo contractors,naics_industry
238340,Tile and terrazzo contractors,national_industry
23835,Finish carpentry contractors,naics_industry
238350,Finish carpentry contractors,national_industry
23839,Other building finishing contractors,naics_industry
238390,Other building finishing contractors,national_industry
2389,Other specialty trade contractors,industry_group
23891,Site preparation contractors,naics_industry
238910,Site preparation contractors,national_industry
23899,All other specialty trade contractors,naics_industry
238990,All other specialty trade contractors,national_industry
31-33,Manufacturing,naics_industry
311,Food manufacturing,subsector
3111,Animal food manufacturing,industry_group
31111,Animal food manufacturing,naics_industry
311111,Dog and cat food manufacturing,national_industry
311119,Other animal food manufacturing,national_industry
3112,Grain and oilseed milling,industry_group
31121,Flour milling and malt manufacturing,naics_industry
311211,Flour milling,national_industry
311212,Rice milling,national_industry
311213,Malt manufacturing,national_industry
31122,Starch and vegetable fats and oils manufacturing,naics_industry
311221,Wet corn milling,national_industry
311224,Soybean and other oilseed processing,national_industry
311225,Fats and oils refining and blending,national_industry
31123,Breakfast cereal manufacturing,naics_industry
311230,Breakfast cereal manufacturing,national_industry
3113,Sugar and confectionery product manufacturing,industry_group
31131,Sugar manufacturing,naics_industry
311313,Beet sugar manufacturing,national_industry
311314,Cane sugar manufacturing,national_industry
31134,Nonchocolate confectionery manufacturing,naics_industry
311340,Nonchocolate confectionery manufacturing,national_industry
31135,Chocolate and confectionery manufacturing,naics_industry
311351,Chocolate and confectionery manufacturing from cacao beans,national_industry
311352,Confectionery manufacturing from purchased chocolate,national_industry
3114,Fruit and vegetable preserving and specialty food manufacturing,industry_group
31141,Frozen food manufacturing,naics_industry
311411,"Frozen fruit, juice, and vegetable manufacturing",national_industry
311412,Frozen specialty food manufacturing,national_industry
31142,"Fruit and vegetable canning, pickling, and drying",naics_industry
311421,Fruit and vegetable canning,national_industry
311422,Specialty canning,national_industry
311423,Dried and dehydrated food manufacturing,national_industry
3115,Dairy product manufacturing,industry_group
31151,Dairy product (except frozen) manufacturing,naics_industry
311511,Fluid milk manufacturing,national_industry
311512,Creamery butter manufacturing,national_industry
311513,Cheese manufacturing,national_industry
311514,"Dry, condensed, and evaporated dairy product manufacturing",national_industry
31152,Ice cream and frozen dessert manufacturing,naics_industry
311520,Ice cream and frozen dessert manufacturing,national_industry
3116,Animal slaughtering and processing,industry_group
31161,Animal slaughtering and processing,naics_industry
311611,Animal (except poultry) slaughtering,national_industry
311612,Meat processed from carcasses,national_industry
311613,Rendering and meat byproduct processing,national_industry
311615,Poultry processing,national_industry
3117,Seafood product preparation and packaging,industry_group
31171,Seafood product preparation and packaging,naics_industry
311710,Seafood product preparation and packaging,national_industry
3118,Bakeries and tortilla manufacturing,industry_group
31181,Bread and bakery product manufacturing,naics_industry
311811,Retail bakeries,national_industry
311812,Commercial bakeries,national_industry
311813,"Frozen cakes, pies, and other pastries manufacturing",national_industry
31182,"Cookie, cracker, and pasta manufacturing",naics_industry
311821,Cookie and cracker manufacturing,national_industry
311824,"Dry pasta, dough, and flour mixes manufacturing from purchased flour",national_industry
31183,Tortilla manufacturing,naics_industry
311830,Tortilla manufacturing,national_industry
3119,Other food manufacturing,industry_group
31191,Snack food manufacturing,naics_industry
311911,Roasted nuts and peanut butter manufacturing,national_industry
311919,Other snack food manufacturing,national_industry
31192,Coffee and tea manufacturing,naics_industry
311920,Coffee and tea manufacturing,national_industry
31193,Flavoring syrup and concentrate manufacturing,naics_industry
311930,Flavoring syrup and concentrate manufacturing,national_industry
31194,Seasoning and dressing manufacturing,naics_industry
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",national_industry
311942,Spice and extract manufacturing,national_industry
31199,All other food manufacturing,naics_industry
311991,Perishable prepared food manufacturing,national_industry
311999,All other miscellaneous food manufacturing,national_industry
312,Beverage and tobacco product manufacturing,subsector
3121,Beverage manufacturing,industry_group
31211,Soft drink and ice manufacturing,naics_industry
312111,Soft drink manufacturing,national_industry
312112,Bottled water manufacturing,national_industry
312113,Ice manufacturing,national_industry
31212,Breweries,naics_industry
312120,Breweries,national_industry
31213,Wineries,naics_industry
312130,Wineries,national_industry
31214,Distilleries,naics_industry
312140,Distilleries,national_industry
3122,Tobacco manufacturing,industry_group
31223,Tobacco manufacturing,naics_industry
312230,Tobacco manufacturing,national_industry
313,Textile mills,subsector
3131,"Fiber, yarn, and thread mills",industry_group
31311,"Fiber, yarn, and thread mills",naics_industry
313110,"Fiber, yarn, and thread mills",national_industry
3132,Fabric mills,industry_group
31321,Broadwoven fabric mills,naics_industry
313210,Broadwoven fabric mills,national_industry
31322,Narrow fabric mills and schiffli machine embroidery,naics_industry
313220,Narrow fabric mills and schiffli machine embroidery,national_industry
31323,Nonwoven fabric mills,naics_industry
313230,Nonwoven fabric mills,national_industry
31324,Knit fabric mills,naics_industry
313240,Knit fabric mills,national_industry
3133,Textile and fabric finishing and fabric coating mills,industry_group
31331,Textile and fabric finishing mills,naics_industry
313310,Textile and fabric finishing mills,national_industry
31332,Fabric coating mills,naics_industry
313320,Fabric coating mills,national_industry
314,Textile product mills,subsector
3141,Textile furnishings mills,industry_group
31411,Carpet and rug mills,naics_industry
314110,Carpet and rug mills,national_industry
31412,Curtain and linen mills,naics_industry
314120,Curtain and linen mills,national_industry
3149,Other textile product mills,industry_group
31491,Textile bag and canvas mills,naics_industry
314910,Textile bag and canvas mills,national_industry
31499,All other textile product mills,naics_industry
314994,"Rope, cordage, twine, tire cord, and tire fabric mills",national_industry
314999,All other miscellaneous textile product mills,national_industry
315,Apparel manufacturing,subsector
3151,Apparel knitting mills,industry_group
31511,Hosiery and sock mills,naics_industry
315110,Hosiery and sock mills,national_industry
31519,Other apparel knitting mills,naics_industry
315190,Other apparel knitting mills,national_industry
3152,Cut and sew apparel manufacturing,industry_group
31521,Cut and sew apparel contractors,naics_industry
315210,Cut and sew apparel contractors,national_industry
31522,Men’s and boys’ cut and sew apparel manufacturing,naics_industry
315220,Men’s and boys’ cut and sew apparel manufacturing,national_industry
31524,"Women’s, girls’, and infants’ cut and sew apparel manufacturing",naics_industry
315240,"Women’s, girls’, and infants’ cut and sew apparel manufacturing",national_industry
31528,Other cut and sew apparel manufacturing,naics_industry
315280,Other cut and sew apparel manufacturing,national_industry
3159,Apparel accessories and other apparel manufacturing,industry_group
31599,Apparel accessories and other apparel manufacturing,naics_industry
315990,Apparel accessories and other apparel manufacturing,national_industry
316,Leather and allied product manufacturing,subsector
3161,Leather and hide tanning and finishing,industry_group
31611,Leather and hide tanning and finishing,naics_industry
316110,Leather and hide tanning and finishing,national_industry
3162,Footwear manufacturing,industry_group
31621,Footwear manufacturing,naics_industry
316210,Footwear manufacturing,national_industry
3169,Other leather and allied product manufacturing,industry_group
31699,Other leather and allied product manufacturing,naics_industry
316992,Women's handbag and purse manufacturing,national_industry
316998,All other leather good and allied product manufacturing,national_industry
321,Wood product manufacturing,subsector
3211,Sawmills and wood preservation,industry_group
32111,Sawmills and wood preservation,naics_industry
321113,Sawmills,national_industry
321114,Wood preservation,national_industry
3212,"Veneer, plywood, and engineered wood product manufacturing",industry_group
32121,"Veneer, plywood, and engineered wood product manufacturing",naics_industry
321211,Hardwood veneer and plywood manufacturing,national_industry
321212,Softwood veneer and plywood manufacturing,national_industry
321213,Engineered wood member (except truss) manufacturing,national_industry
321214,Truss manufacturing,national_industry
321219,Reconstituted wood product manufacturing,national_industry
3219,Other wood product manufacturing,industry_group
32191,Millwork,naics_industry
321911,Wood window and door manufacturing,national_industry
321912,"Cut stock, resawing lumber, and planing",national_industry
321918,Other millwork (including flooring),national_industry
32192,Wood container and pallet manufacturing,naics_industry
321920,Wood container and pallet manufacturing,national_industry
32199,All other wood product manufacturing,naics_industry
321991,Manufactured home (mobile home) manufacturing,national_industry
321992,Prefabricated wood building manufacturing,national_industry
321999,All other miscellaneous wood product manufacturing,national_industry
322,Paper manufacturing,subsector
3221,"Pulp, paper, and paperboard mills",industry_group
32211,Pulp mills,naics_industry
322110,Pulp mills,national_industry
32212,Paper mills,naics_industry
322121,Paper (except newsprint) mills,national_industry
322122,Newsprint mills,national_industry
32213,Paperboard mills,naics_industry
322130,Paperboard mills,national_industry
3222,Converted paper product manufacturing,industry_group
32221,Paperboard container manufacturing,naics_industry
322211,Corrugated and solid fiber box manufacturing,national_industry
322212,Folding paperboard box manufacturing,national_industry
322219,Other paperboard container manufacturing,national_industry
32222,Paper bag and coated and treated paper manufacturing,naics_industry
322220,Paper bag and coated and treated paper manufacturing,national_industry
32223,Stationery product manufacturing,naics_industry
322230,Stationery product manufacturing,national_industry
32229,Other converted paper product manufacturing,naics_industry
322291,Sanitary paper product manufacturing,national_industry
322299,All other converted paper product manufacturing,national_industry
323,Printing and related support activities,subsector
3231,Printing and related support activities,industry_group
32311,Printing,naics_industry
323111,Commercial printing (except screen and books),national_industry
323113,Commercial screen printing,national_industry
323117,Books printing,national_industry
32312,Support activities for printing,naics_industry
323120,Support activities for printing,national_industry
324,Petroleum and coal products manufacturing,subsector
3241,Petroleum and coal products manufacturing,industry_group
32411,Petroleum refineries,naics_industry
324110,Petroleum refineries,national_industry
32412,"Asphalt paving, roofing, and saturated materials manufacturing",naics_industry
324121,Asphalt paving mixture and block manufacturing,national_industry
324122,Asphalt shingle and coating materials manufacturing,national_industry
32419,Other petroleum and coal products manufacturing,naics_industry
324191,Petroleum lubricating oil and grease manufacturing,national_industry
324199,All other petroleum and coal products manufacturing,national_industry
325,Chemical manufacturing,subsector
3251,Basic chemical manufacturing,industry_group
32511,Petrochemical manufacturing,naics_industry
325110,Petrochemical manufacturing,national_industry
32512,Industrial gas manufacturing,naics_industry
325120,Industrial gas manufacturing,national_industry
32513,Synthetic dye and pigment manufacturing,naics_industry
325130,Synthetic dye and pigment manufacturing,national_industry
32518,Other basic inorganic chemical manufacturing,naics_industry
325180,Other basic inorganic chemical manufacturing,national_industry
32519,Other basic organic chemical manufacturing,naics_industry
325193,Ethyl alcohol manufacturing,national_industry
325194,"Cyclic crude, intermediate, and gum and wood chemical manufacturing",national_industry
325199,All other basic organic chemical manufacturing,national_industry
3252,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",industry_group
32521,Resin and synthetic rubber manufacturing,naics_industry
325211,Plastics material and resin manufacturing,national_industry
325212,Synthetic rubber manufacturing,national_industry
32522,Artificial and synthetic fibers and filaments manufacturing,naics_industry
325220,Artificial and synthetic fibers and filaments manufacturing,national_industry
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",industry_group
32531,Fertilizer manufacturing,naics_industry
325311,Nitrogenous fertilizer manufacturing,national_industry
325312,Phosphatic fertilizer manufacturing,national_industry
325314,Fertilizer (mixing only) manufacturing,national_industry
32532,Pesticide and other agricultural chemical manufacturing,naics_industry
325320,Pesticide and other agricultural chemical manufacturing,national_industry
3254,Pharmaceutical and medicine manufacturing,industry_group
32541,Pharmaceutical and medicine manufacturing,naics_industry
325411,Medicinal and botanical manufacturing,national_industry
325412,Pharmaceutical preparation manufacturing,national_industry
325413,In-vitro diagnostic substance manufacturing,national_industry
325414,Biological product (except diagnostic) manufacturing,national_industry
3255,"Paint, coating, and adhesive manufacturing",industry_group
32551,Paint and coating manufacturing,naics_industry
325510,Paint and coating manufacturing,national_industry
32552,Adhesive manufacturing,naics_industry
325520,Adhesive manufacturing,national_industry
3256,"Soap, cleaning compound, and toilet preparation manufacturing",industry_group
32561,Soap and cleaning compound manufacturing,naics_industry
325611,Soap and other detergent manufacturing,national_industry
325612,Polish and other sanitation good manufacturing,national_industry
325613,Surface active agent manufacturing,national_industry
32562,Toilet preparation manufacturing,naics_industry
325620,Toilet preparation manufacturing,national_industry
3259,Other chemical product and preparation manufacturing,industry_group
32591,Printing ink manufacturing,naics_industry
325910,Printing ink manufacturing,national_industry
32592,Explosives manufacturing,naics_industry
325920,Explosives manufacturing,national_industry
32599,All other chemical product and preparation manufacturing,naics_industry
325991,Custom compounding of purchased resins,national_industry
325992,"Photographic film, paper, plate, and chemical manufacturing",national_industry
325998,All other miscellaneous chemical product and preparation manufacturing,national_industry
326,Plastics and rubber products manufacturing,subsector
3261,Plastics product manufacturing,industry_group
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,naics_industry
326111,Plastics bag and pouch manufacturing,national_industry
326112,Plastics packaging film and sheet (including laminated) manufacturing,national_industry
326113,Unlaminated plastics film and sheet (except packaging) manufacturing,national_industry
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",naics_industry
326121,Unlaminated plastics profile shape manufacturing,national_industry
326122,Plastics pipe and pipe fitting manufacturing,national_industry
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",naics_industry
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",national_industry
32614,Polystyrene foam product manufacturing,naics_industry
326140,Polystyrene foam product manufacturing,national_industry
32615,Urethane and other foam product (except polystyrene) manufacturing,naics_industry
326150,Urethane and other foam product (except polystyrene) manufacturing,national_industry
32616,Plastics bottle manufacturing,naics_industry
326160,Plastics bottle manufacturing,national_industry
32619,Other plastics product manufacturing,naics_industry
326191,Plastics plumbing fixture manufacturing,national_industry
326199,All other plastics product manufacturing,national_industry
3262,Rubber product manufacturing,industry_group
32621,Tire manufacturing,naics_industry
326211,Tire manufacturing (except retreading),national_industry
326212,Tire retreading,national_industry
32622,Rubber and plastics hoses and belting manufacturing,naics_industry
326220,Rubber and plastics hoses and belting manufacturing,national_industry
32629,Other rubber product manufacturing,naics_industry
326291,Rubber product manufacturing for mechanical use,national_industry
326299,All other rubber product manufacturing,national_industry
327,Nonmetallic mineral product manufacturing,subsector
3271,Clay product and refractory manufacturing,industry_group
32711,"Pottery, ceramics, and plumbing fixture manufacturing",naics_industry
327110,"Pottery, ceramics, and plumbing fixture manufacturing",national_industry
32712,Clay building material and refractories manufacturing,naics_industry
327120,Clay building material and refractories manufacturing,national_industry
3272,Glass and glass product manufacturing,industry_group
32721,Glass and glass product manufacturing,naics_industry
327211,Flat glass manufacturing,national_industry
327212,Other pressed and blown glass and glassware manufacturing,national_industry
327213,Glass container manufacturing,national_industry
327215,Glass product manufacturing made of purchased glass,national_industry
3273,Cement and concrete product manufacturing,industry_group
32731,Cement manufacturing,naics_industry
327310,Cement manufacturing,national_industry
32732,Ready-mix concrete manufacturing,naics_industry
327320,Ready-mix concrete manufacturing,national_industry
32733,"Concrete pipe, brick, and block manufacturing",naics_industry
327331,Concrete block and brick manufacturing,national_industry
327332,Concrete pipe manufacturing,national_industry
32739,Other concrete product manufacturing,naics_industry
327390,Other concrete product manufacturing,national_industry
3274,Lime and gypsum product manufacturing,industry_group
32741,Lime manufacturing,naics_industry
327410,Lime manufacturing,national_industry
32742,Gypsum product manufacturing,naics_industry
327420,Gypsum product manufacturing,national_industry
3279,Other nonmetallic mineral product manufacturing,industry_group
32791,Abrasive product manufacturing,naics_industry
327910,Abrasive product manufacturing,national_industry
32799,All other nonmetallic mineral product manufacturing,naics_industry
327991,Cut stone and stone product manufacturing,national_industry
327992,Ground or treated mineral and earth manufacturing,national_industry
327993,Mineral wool manufacturing,national_industry
327999,All other miscellaneous nonmetallic mineral product manufacturing,national_industry
331,Primary metal manufacturing,subsector
3311,Iron and steel mills and ferroalloy manufacturing,industry_group
33111,Iron and steel mills and ferroalloy manufacturing,naics_industry
331110,Iron and steel mills and ferroalloy manufacturing,national_industry
3312,Steel product manufacturing from purchased steel,industry_group
33121,Iron and steel pipe and tube manufacturing from purchased steel,naics_industry
331210,Iron and steel pipe and tube manufacturing from purchased steel,national_industry
33122,Rolling and drawing of purchased steel,naics_industry
331221,Rolled steel shape manufacturing,national_industry
331222,Steel wire drawing,national_industry
3313,Alumina and aluminum production and processing,industry_group
33131,Alumina and aluminum production and processing,naics_industry
331313,Alumina refining and primary aluminum production,national_industry
331314,Secondary smelting and alloying of aluminum,national_industry
331315,"Aluminum sheet, plate, and foil manufacturing",national_industry
331318,"Other aluminum rolling, drawing, and extruding",national_industry
3314,Nonferrous metal (except aluminum) production and processing,industry_group
33141,Nonferrous metal (except aluminum) smelting and refining,naics_industry
331410,Nonferrous metal (except aluminum) smelting and refining,national_industry
33142,"Copper rolling, drawing, extruding, and alloying",naics_industry
331420,"Copper rolling, drawing, extruding, and alloying",national_industry
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",naics_industry
331491,"Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding",national_industry
331492,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)",national_industry
3315,Foundries,industry_group
33151,Ferrous metal foundries,naics_industry
331511,Iron foundries,national_industry
331512,Steel investment foundries,national_industry
331513,Steel foundries (except investment),national_industry
33152,Nonferrous metal foundries,naics_industry
331523,Nonferrous metal die-casting foundries,national_industry
331524,Aluminum foundries (except die-casting),national_industry
331529,Other nonferrous metal foundries (except die-casting),national_industry
332,Fabricated metal product manufacturing,subsector
3321,Forging and stamping,industry_group
33211,Forging and stamping,naics_industry
332111,Iron and steel forging,national_industry
332112,Nonferrous forging,national_industry
332114,Custom roll forming,national_industry
332117,Powder metallurgy part manufacturing,national_industry
332119,"Metal crown, closure, and other metal stamping (except automotive)",national_industry
3322,Cutlery and handtool manufacturing,industry_group
33221,Cutlery and handtool manufacturing,naics_industry
332215,"Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing",national_industry
332216,Saw blade and handtool manufacturing,national_industry
3323,Architectural and structural metals manufacturing,industry_group
33231,Plate work and fabricated structural product manufacturing,naics_industry
332311,Prefabricated metal building and component manufacturing,national_industry
332312,Fabricated structural metal manufacturing,national_industry
332313,Plate work manufacturing,national_industry
33232,Ornamental and architectural metal products manufacturing,naics_industry
332321,Metal window and door manufacturing,national_industry
